Name,Value,Prop,ID,Points Totals,Points Per Game,Assists Totals,Assists Per Game,Rebounds Totals,Rebounds Per Game,Fantasy Score Totals,Fantasy Score Per Game,3-PT Made Totals,3-PT Made Per Game,Free Throws Made Totals,Free Throws Made Per Game,Blocks Totals,Blocks Per Game,Steals Totals,Steals Per Game,Personal Fouls Totals,Personal Fouls Per Game,Turnovers Totals,Turnovers Per Game,FG Attempted Totals,FG Attempted Per Game,Games Played Totals,Points Per L10,Assists Per L10,Rebounds Per L10,Fantasy Score Per L10,3-PT Made Per L10,Free Throws Made Per L10,Blocks Per L10,Steals Per L10,Personal Fouls Per L10,Turnovers Per L10,FG Attempted Per L10,Games Played Per L10,PTS+REB+AST,PTS+AST,PTS+REB,REB+AST,BLKS+STLS,PTS+REB+AST L10,PTS+AST L10,PTS+REB L10,REB+AST L10,BLKS+STLS L10
De'Andre Hunter,0.5,Dunks,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,15.5,Pts+Asts,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,20.5,Pts+Rebs+Asts,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,5.0,Rebounds,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,14.5,Points,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,19.5,Pts+Rebs,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,0.5,Steals,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
De'Andre Hunter,23.5,Fantasy Score,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
Deandre Ayton,25.5,Pts+Rebs,1629028.0,1203.0,17.955223880597014,115.0,1.7164179104477613,667.0,9.955223880597014,2325.9,34.71492537313433,7.0,0.1044776119402985,152.0,2.2686567164179103,53.0,0.7910447761194029,37.0,0.5522388059701493,190.0,2.8358208955223883,120.0,1.791044776119403,887.0,13.238805970149254,67.0,14.333333333333334,0.6666666666666666,8.0,27.933333333333334,0.0,2.6666666666666665,1.0,0.5,2.8333333333333335,1.5,10.0,1.0,29.626865671641788,19.671641791044774,27.91044776119403,11.671641791044776,1.3432835820895521,23.000000000000004,15.0,22.333333333333336,8.666666666666666,1.5
Deandre Ayton,0.5,Steals,1629028.0,1203.0,17.955223880597014,115.0,1.7164179104477613,667.0,9.955223880597014,2325.9,34.71492537313433,7.0,0.1044776119402985,152.0,2.2686567164179103,53.0,0.7910447761194029,37.0,0.5522388059701493,190.0,2.8358208955223883,120.0,1.791044776119403,887.0,13.238805970149254,67.0,14.333333333333334,0.6666666666666666,8.0,27.933333333333334,0.0,2.6666666666666665,1.0,0.5,2.8333333333333335,1.5,10.0,1.0,29.626865671641788,19.671641791044774,27.91044776119403,11.671641791044776,1.3432835820895521,23.000000000000004,15.0,22.333333333333336,8.666666666666666,1.5
Deandre Ayton,16.5,Pts+Asts,1629028.0,1203.0,17.955223880597014,115.0,1.7164179104477613,667.0,9.955223880597014,2325.9,34.71492537313433,7.0,0.1044776119402985,152.0,2.2686567164179103,53.0,0.7910447761194029,37.0,0.5522388059701493,190.0,2.8358208955223883,120.0,1.791044776119403,887.0,13.238805970149254,67.0,14.333333333333334,0.6666666666666666,8.0,27.933333333333334,0.0,2.6666666666666665,1.0,0.5,2.8333333333333335,1.5,10.0,1.0,29.626865671641788,19.671641791044774,27.91044776119403,11.671641791044776,1.3432835820895521,23.000000000000004,15.0,22.333333333333336,8.666666666666666,1.5
Deandre Ayton,15.5,Points,1629028.0,1203.0,17.955223880597014,115.0,1.7164179104477613,667.0,9.955223880597014,2325.9,34.71492537313433,7.0,0.1044776119402985,152.0,2.2686567164179103,53.0,0.7910447761194029,37.0,0.5522388059701493,190.0,2.8358208955223883,120.0,1.791044776119403,887.0,13.238805970149254,67.0,14.333333333333334,0.6666666666666666,8.0,27.933333333333334,0.0,2.6666666666666665,1.0,0.5,2.8333333333333335,1.5,10.0,1.0,29.626865671641788,19.671641791044774,27.91044776119403,11.671641791044776,1.3432835820895521,23.000000000000004,15.0,22.333333333333336,8.666666666666666,1.5
Deandre Ayton,10.5,Rebs+Asts,1629028.0,1203.0,17.955223880597014,115.0,1.7164179104477613,667.0,9.955223880597014,2325.9,34.71492537313433,7.0,0.1044776119402985,152.0,2.2686567164179103,53.0,0.7910447761194029,37.0,0.5522388059701493,190.0,2.8358208955223883,120.0,1.791044776119403,887.0,13.238805970149254,67.0,14.333333333333334,0.6666666666666666,8.0,27.933333333333334,0.0,2.6666666666666665,1.0,0.5,2.8333333333333335,1.5,10.0,1.0,29.626865671641788,19.671641791044774,27.91044776119403,11.671641791044776,1.3432835820895521,23.000000000000004,15.0,22.333333333333336,8.666666666666666,1.5
